input,target,problem_id,codes_annotated
"

list1=[1,2,4,8,16,32,64,128,256,512,9,27,81,243,729,25,125,625,49,343,100,1000,121] # Hits:1.0, Total execution time: 0.166 ms, Average time per hit: 0.166 ms 


num=eval(input()) # Hits:1.0, Total execution time: 32.0 ms, Average time per hit: 32.0 ms 


num=int(num) # Hits:1.0, Total execution time: 0.25 ms, Average time per hit: 0.25 ms 




for i in range(12,32): # Hits:21.0, Total execution time: 2.17 ms, Average time per hit: 0.10333333333333333 ms 


    list1.append(i**2) # Hits:20.0, Total execution time: 3.044 ms, Average time per hit: 0.1522 ms 


    i+=1 # Hits:20.0, Total execution time: 2.332 ms, Average time per hit: 0.1166 ms 


list2=[] # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for j in range(len(list1)): # Hits:44.0, Total execution time: 3.708 ms, Average time per hit: 0.08427272727272726 ms 


    if num>=list1[j]: # Hits:43.0, Total execution time: 4.209 ms, Average time per hit: 0.09788372093023255 ms 


        list2.append(list1[j]) # Hits:42.0, Total execution time: 5.416 ms, Average time per hit: 0.12895238095238096 ms 


        j +=1 # Hits:42.0, Total execution time: 3.624 ms, Average time per hit: 0.08628571428571429 ms 


        

print((max(list2))) # Hits:1.0, Total execution time: 5.625 ms, Average time per hit: 5.625 ms 


    ","list1=[] # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for b in range(1,33): # Hits:33.0, Total execution time: 2.918 ms, Average time per hit: 0.08842424242424242 ms 


    for p in range(2,11): # Hits:91.0, Total execution time: 10.542 ms, Average time per hit: 0.11584615384615383 ms 


        if b**p not in list1 and b**p<=1000: # Hits:90.0, Total execution time: 20.748 ms, Average time per hit: 0.23053333333333334 ms 


            list1.append(b**p) # Hits:41.0, Total execution time: 6.623 ms, Average time per hit: 0.16153658536585366 ms 


        elif b**p>1000: # Hits:49.0, Total execution time: 6.298 ms, Average time per hit: 0.12853061224489795 ms 


            break # Hits:31.0, Total execution time: 2.244 ms, Average time per hit: 0.07238709677419355 ms 


list1.sort() # Hits:1.0, Total execution time: 0.708 ms, Average time per hit: 0.708 ms 


N=int(eval(input())) # Hits:1.0, Total execution time: 45.25 ms, Average time per hit: 45.25 ms 


ans=0 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(len(list1)): # Hits:41.0, Total execution time: 4.331 ms, Average time per hit: 0.10563414634146343 ms 


    if list1[i]<=N: # Hits:41.0, Total execution time: 4.874 ms, Average time per hit: 0.1188780487804878 ms 


        ans=list1[i] # Hits:40.0, Total execution time: 4.378 ms, Average time per hit: 0.10945 ms 


    else:

        break # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


print(ans) # Hits:1.0, Total execution time: 5.875 ms, Average time per hit: 5.875 ms 


        ",p03352,True
"import sys

import os





def main():

    if os.getenv(""LOCAL""):

        sys.stdin = open(""input.txt"", ""r"")



    N = int(sys.stdin.readline().rstrip())

    ret = 1

    for b in range(1, N):

        for p in range(2, N//2):

            if b ** p <= N:

                ret = max(ret, b ** p)



    print(ret)





if __name__ == '__main__':

    main()
",,p03352,False
"n=int(eval(input())) # Hits:1.0, Total execution time: 38.0 ms, Average time per hit: 38.0 ms 


max=0 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


if(n==1): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


  print((1)) # Hits:1.0, Total execution time: 5.708 ms, Average time per hit: 5.708 ms 


else:

  for i in range(n): # Hits:1000.0, Total execution time: 85.4 ms, Average time per hit: 0.0854 ms 


    for j in range(2,10): # Hits:8991.0, Total execution time: 868.714 ms, Average time per hit: 0.09662039817595373 ms 


      if(max<=i**j and i**j<=n): # Hits:7992.0, Total execution time: 1606.898 ms, Average time per hit: 0.2010633133133133 ms 


        max=i**j # Hits:31.0, Total execution time: 4.791 ms, Average time per hit: 0.1545483870967742 ms 


  print(max) # Hits:1.0, Total execution time: 8.25 ms, Average time per hit: 8.25 ms 
","import math # Hits:1.0, Total execution time: 0.583 ms, Average time per hit: 0.583 ms 


n = int(eval(input())) # Hits:1.0, Total execution time: 30.417 ms, Average time per hit: 30.417 ms 


j = 2 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


tmp = 0 # Hits:1.0, Total execution time: 0.041 ms, Average time per hit: 0.041 ms 


Max = 1 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


for i in range(2,n): # Hits:998.0, Total execution time: 77.02 ms, Average time per hit: 0.07717434869739478 ms 


  while(n > tmp): # Hits:2043.0, Total execution time: 195.774 ms, Average time per hit: 0.09582672540381791 ms 


    tmp = i**j # Hits:1046.0, Total execution time: 92.124 ms, Average time per hit: 0.08807265774378585 ms 


    j+=1 # Hits:1046.0, Total execution time: 88.02 ms, Average time per hit: 0.08414913957934991 ms 


    if(Max < tmp and n >= tmp): # Hits:1046.0, Total execution time: 106.873 ms, Average time per hit: 0.10217304015296366 ms 


      Max = tmp # Hits:13.0, Total execution time: 0.79 ms, Average time per hit: 0.06076923076923077 ms 


  j = 2 # Hits:997.0, Total execution time: 69.674 ms, Average time per hit: 0.06988365095285858 ms 


  tmp = 0 # Hits:997.0, Total execution time: 77.657 ms, Average time per hit: 0.07789067201604814 ms 


print(Max) # Hits:1.0, Total execution time: 7.917 ms, Average time per hit: 7.917 ms 
",p03352,True
"def pff(m): # Hits:1.0, Total execution time: 0.208 ms, Average time per hit: 0.208 ms 


    pf = {}

    for i in range(2, int(m ** 0.5) + 1):

        while m % i == 0:

            pf[i] = pf.get(i, 0) + 1

            m //= i

    if m > 1: pf[m] = 1

    return pf

def examB(): # Hits:1.0, Total execution time: 0.209 ms, Average time per hit: 0.209 ms 


    X = I()

    ans = 0

    for i in range(X,0,-1):

        cur = pff(i)

        flag = True

        now = 0

        for j in list(cur.values()):

            if j==1:

                flag = False

            if now==0:

                now = j

            else:

                if now!=j:

                    flag = False

        if flag:

            ans = i

            break

    print(ans)



import sys,copy,bisect,itertools,heapq,math # Hits:1.0, Total execution time: 1.875 ms, Average time per hit: 1.875 ms 


from heapq import heappop,heappush,heapify # Hits:1.0, Total execution time: 0.792 ms, Average time per hit: 0.792 ms 


from collections import Counter,defaultdict,deque # Hits:1.0, Total execution time: 2.083 ms, Average time per hit: 2.083 ms 


def I(): return int(sys.stdin.readline()) # Hits:1.0, Total execution time: 0.209 ms, Average time per hit: 0.209 ms 


def LI(): return list(map(int,sys.stdin.readline().split())) # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


def LSI(): return list(map(str,sys.stdin.readline().split())) # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


def LS(): return sys.stdin.readline().split() # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


def SI(): return sys.stdin.readline().strip() # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


mod = 10**9 + 7 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


inf = float('inf') # Hits:1.0, Total execution time: 0.458 ms, Average time per hit: 0.458 ms 




examB() # Hits:1.0, Total execution time: 252.792 ms, Average time per hit: 252.792 ms 
","def pff(m): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    pf = {}

    for i in range(2, int(m ** 0.5) + 1):

        while m % i == 0:

            pf[i] = pf.get(i, 0) + 1

            m //= i

    if m > 1: pf[m] = 1

    return pf

def examB(): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    X = I()

    ans = 0

    for i in range(X,0,-1):

        cur = pff(i)

        flag = True

        now = 0

        for j in list(cur.values()):

            if j==1:

                flag = False

            if now==0:

                now = j

            else:

                if now%j!=0 and j%now!=0:

                    flag = False

        if flag:

            ans = i

            break

    print(ans)



import sys,copy,bisect,itertools,heapq,math # Hits:1.0, Total execution time: 1.708 ms, Average time per hit: 1.708 ms 


from heapq import heappop,heappush,heapify # Hits:1.0, Total execution time: 0.667 ms, Average time per hit: 0.667 ms 


from collections import Counter,defaultdict,deque # Hits:1.0, Total execution time: 1.75 ms, Average time per hit: 1.75 ms 


def I(): return int(sys.stdin.readline()) # Hits:1.0, Total execution time: 0.166 ms, Average time per hit: 0.166 ms 


def LI(): return list(map(int,sys.stdin.readline().split())) # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


def LSI(): return list(map(str,sys.stdin.readline().split())) # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


def LS(): return sys.stdin.readline().split() # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


def SI(): return sys.stdin.readline().strip() # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


mod = 10**9 + 7 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


inf = float('inf') # Hits:1.0, Total execution time: 0.375 ms, Average time per hit: 0.375 ms 




examB() # Hits:1.0, Total execution time: 252.792 ms, Average time per hit: 252.792 ms 

",p03352,True
"x = int(eval(input()))

S = set()

S.add(1)

for b in range(2, int(1000**0.5) + 1):

	for p in range(2, 10):

		if b**p > 1000:

			break

		S.add(b**p)

for n in range(x, 0, -1):

	if n in S:

		print(n)

		exit()","x = int(eval(input())) # Hits:1.0, Total execution time: 33.5 ms, Average time per hit: 33.5 ms 


ans = 1 # Hits:1.0, Total execution time: 0.042 ms, Average time per hit: 0.042 ms 


for b in range(2, 33): # Hits:32.0, Total execution time: 2.62 ms, Average time per hit: 0.081875 ms 


	for p in range(2, 10): # Hits:80.0, Total execution time: 8.46 ms, Average time per hit: 0.10575 ms 


		n = b**p # Hits:79.0, Total execution time: 8.004 ms, Average time per hit: 0.10131645569620254 ms 


		if n > x: # Hits:79.0, Total execution time: 6.868 ms, Average time per hit: 0.08693670886075949 ms 


			break # Hits:30.0, Total execution time: 2.377 ms, Average time per hit: 0.07923333333333334 ms 


		ans = max(ans, n) # Hits:49.0, Total execution time: 7.584 ms, Average time per hit: 0.15477551020408162 ms 


print(ans) # Hits:1.0, Total execution time: 5.584 ms, Average time per hit: 5.584 ms 
",p03352,False
"X = int(eval(input())) # Hits:1.0, Total execution time: 34.333 ms, Average time per hit: 34.333 ms 


ans = 1 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(2,int(X**0.5)+1): # Hits:31.0, Total execution time: 2.836 ms, Average time per hit: 0.09148387096774194 ms 


    cnt = 2 # Hits:30.0, Total execution time: 1.874 ms, Average time per hit: 0.06246666666666667 ms 


    y = i**cnt # Hits:30.0, Total execution time: 2.916 ms, Average time per hit: 0.09720000000000001 ms 


    while y<=X: # Hits:79.0, Total execution time: 7.454 ms, Average time per hit: 0.09435443037974683 ms 


        ans = max(ans,y) # Hits:49.0, Total execution time: 7.251 ms, Average time per hit: 0.1479795918367347 ms 


        cnt +=1 # Hits:49.0, Total execution time: 4.121 ms, Average time per hit: 0.08410204081632654 ms 


        y = y*i # Hits:49.0, Total execution time: 4.338 ms, Average time per hit: 0.08853061224489796 ms 


print(ans)        # Hits:1.0, Total execution time: 8.875 ms, Average time per hit: 8.875 ms 
","X = int(eval(input())) # Hits:1.0, Total execution time: 37.667 ms, Average time per hit: 37.667 ms 


if X==1: # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    print((1)) # Hits:1.0, Total execution time: 5.5 ms, Average time per hit: 5.5 ms 


else:

    cmax = 0 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


    for i in range(2,int(X**0.5)+1): # Hits:31.0, Total execution time: 3.043 ms, Average time per hit: 0.09816129032258064 ms 


        k = 2 # Hits:30.0, Total execution time: 2.291 ms, Average time per hit: 0.07636666666666667 ms 


        while i**k<=X: # Hits:79.0, Total execution time: 9.25 ms, Average time per hit: 0.11708860759493671 ms 


            k += 1 # Hits:49.0, Total execution time: 4.044 ms, Average time per hit: 0.08253061224489795 ms 


        cmax = max(cmax,i**(k-1)) # Hits:30.0, Total execution time: 6.207 ms, Average time per hit: 0.2069 ms 


    print(cmax) # Hits:1.0, Total execution time: 5.875 ms, Average time per hit: 5.875 ms 
",p03352,True
"X = int(eval(input())) # Hits:1.0, Total execution time: 39.041 ms, Average time per hit: 39.041 ms 


if X==1: # Hits:1.0, Total execution time: 0.166 ms, Average time per hit: 0.166 ms 


    print((1)) # Hits:1.0, Total execution time: 5.25 ms, Average time per hit: 5.25 ms 


else:

    cmax = 1 # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    for i in range(2,int(X**0.5)+1): # Hits:31.0, Total execution time: 3.089 ms, Average time per hit: 0.09964516129032258 ms 


        k = 2 # Hits:30.0, Total execution time: 2.243 ms, Average time per hit: 0.07476666666666666 ms 


        while i**k<=X: # Hits:79.0, Total execution time: 18.457 ms, Average time per hit: 0.23363291139240508 ms 


            cmax = max(cmax,i**k) # Hits:49.0, Total execution time: 8.75 ms, Average time per hit: 0.17857142857142858 ms 


            k += 1 # Hits:49.0, Total execution time: 4.289 ms, Average time per hit: 0.08753061224489796 ms 


    print(cmax) # Hits:1.0, Total execution time: 5.125 ms, Average time per hit: 5.125 ms 
","X = int(eval(input())) # Hits:1.0, Total execution time: 40.375 ms, Average time per hit: 40.375 ms 


n = 1 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


if X<=3: # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


    print((1)) # Hits:1.0, Total execution time: 8.75 ms, Average time per hit: 8.75 ms 


elif X==4: # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


    print((4))

else:

    n = 4 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


    for i in range(2,int(X**0.5)+1): # Hits:31.0, Total execution time: 3.167 ms, Average time per hit: 0.10216129032258064 ms 


        b = i # Hits:30.0, Total execution time: 2.125 ms, Average time per hit: 0.07083333333333333 ms 


        k = 1 # Hits:30.0, Total execution time: 2.083 ms, Average time per hit: 0.06943333333333333 ms 


        while b**k<=X: # Hits:109.0, Total execution time: 12.626 ms, Average time per hit: 0.1158348623853211 ms 


            k += 1 # Hits:79.0, Total execution time: 6.409 ms, Average time per hit: 0.081126582278481 ms 


        k -= 1 # Hits:30.0, Total execution time: 2.714 ms, Average time per hit: 0.09046666666666667 ms 


        if k>=2: # Hits:30.0, Total execution time: 2.497 ms, Average time per hit: 0.08323333333333334 ms 


            n = max(n,b**k) # Hits:30.0, Total execution time: 5.997 ms, Average time per hit: 0.1999 ms 


    print(n) # Hits:1.0, Total execution time: 8.833 ms, Average time per hit: 8.833 ms 
",p03352,True
"import math # Hits:1.0, Total execution time: 0.375 ms, Average time per hit: 0.375 ms 




X = int(eval(input())) # Hits:1.0, Total execution time: 38.875 ms, Average time per hit: 38.875 ms 




ans = 1 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(X+1): # Hits:39.0, Total execution time: 3.379 ms, Average time per hit: 0.08664102564102563 ms 


  for j in range(2,max(math.floor(math.sqrt(X-i))+1,3)): # Hits:1208.0, Total execution time: 111.233 ms, Average time per hit: 0.09208029801324502 ms 


    beki = False # Hits:1170.0, Total execution time: 86.179 ms, Average time per hit: 0.07365726495726496 ms 


    tmp = X-i # Hits:1170.0, Total execution time: 106.456 ms, Average time per hit: 0.0909880341880342 ms 


    while True: # Hits:1317.0, Total execution time: 98.806 ms, Average time per hit: 0.07502353834472285 ms 


      if tmp%j != 0: # Hits:1317.0, Total execution time: 127.261 ms, Average time per hit: 0.0966294608959757 ms 


        if tmp == 1: # Hits:1170.0, Total execution time: 97.866 ms, Average time per hit: 0.08364615384615386 ms 


          beki = True # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


        break # Hits:1170.0, Total execution time: 82.743 ms, Average time per hit: 0.07072051282051282 ms 


      else:

        tmp //= j # Hits:147.0, Total execution time: 13.709 ms, Average time per hit: 0.09325850340136055 ms 


    if beki: # Hits:1170.0, Total execution time: 89.013 ms, Average time per hit: 0.07607948717948718 ms 


      ans = X-i # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


      break # Hits:1.0, Total execution time: 0.042 ms, Average time per hit: 0.042 ms 


  if beki: # Hits:39.0, Total execution time: 2.953 ms, Average time per hit: 0.07571794871794872 ms 


    break # Hits:1.0, Total execution time: 0.042 ms, Average time per hit: 0.042 ms 




print(ans) # Hits:1.0, Total execution time: 4.708 ms, Average time per hit: 4.708 ms 

","import math # Hits:1.0, Total execution time: 0.459 ms, Average time per hit: 0.459 ms 




X = int(eval(input())) # Hits:1.0, Total execution time: 33.292 ms, Average time per hit: 33.292 ms 




ans = 1 # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 




for i in range(2,max(3, math.floor(math.sqrt(X))+1)): # Hits:31.0, Total execution time: 3.457 ms, Average time per hit: 0.11151612903225806 ms 


  j = 2 # Hits:30.0, Total execution time: 2.293 ms, Average time per hit: 0.07643333333333334 ms 


  while i**j <= X: # Hits:79.0, Total execution time: 9.665 ms, Average time per hit: 0.12234177215189873 ms 


    if i**j > ans: # Hits:49.0, Total execution time: 5.459 ms, Average time per hit: 0.11140816326530613 ms 


      ans = i**j # Hits:13.0, Total execution time: 1.415 ms, Average time per hit: 0.10884615384615384 ms 


    j += 1 # Hits:49.0, Total execution time: 4.124 ms, Average time per hit: 0.08416326530612245 ms 




print(ans) # Hits:1.0, Total execution time: 5.375 ms, Average time per hit: 5.375 ms 

",p03352,True
"#素因数分解して列挙する関数、約数列挙ではない！

from collections import Counter # Hits:1.0, Total execution time: 1.709 ms, Average time per hit: 1.709 ms 


def factorize(n): # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


  b = 2

  fct = []

  while b * b <= n:

    while n % b == 0:

      n //= b

      fct.append(b)

    b = b + 1

  if n > 1:

    fct.append(n)

  f = list(Counter(fct).values())

  if 1 not in f and len(set(f))==1:

    return True

  return False



X = int(eval(input())) # Hits:1.0, Total execution time: 41.708 ms, Average time per hit: 41.708 ms 


for i in range(X,0,-1): # Hits:39.0, Total execution time: 3.834 ms, Average time per hit: 0.0983076923076923 ms 


  f = factorize(i) # Hits:39.0, Total execution time: 190.707 ms, Average time per hit: 4.889923076923077 ms 


  if f==True or i==1: # Hits:39.0, Total execution time: 4.792 ms, Average time per hit: 0.12287179487179488 ms 


    print(i) # Hits:1.0, Total execution time: 8.334 ms, Average time per hit: 8.334 ms 


    break # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 
","def solve(): # Hits:1.0, Total execution time: 0.209 ms, Average time per hit: 0.209 ms 


  ans = 0

  X = int(eval(input()))

  lis = [False]*(X+1)

  lis[1] = True

  for b in range(2,X+1):

    p = 2

    while b**p<=X:

      lis[b**p] = True

      p += 1

  for i in range(X,-1,-1):

    if lis[i]==True:

      return i

print((solve())) # Hits:1.0, Total execution time: 192.084 ms, Average time per hit: 192.084 ms 
",p03352,True
"#abc097 b bekijousu

import math # Hits:1.0, Total execution time: 0.459 ms, Average time per hit: 0.459 ms 




def large_num(n): # Hits:1.0, Total execution time: 0.166 ms, Average time per hit: 0.166 ms 


    xx=x/n

    p=1

    while xx-n**p>=0:

        p+=1

    if p==1:

        return 0

    else:

        return n**p



x=int(eval(input())) # Hits:1.0, Total execution time: 39.166 ms, Average time per hit: 39.166 ms 


b_last=int(math.sqrt(1000)) # Hits:1.0, Total execution time: 0.625 ms, Average time per hit: 0.625 ms 


num=[i for i in range(2,b_last+1)] # Hits:1.0, Total execution time: 2.916 ms, Average time per hit: 2.916 ms 




ans=0 # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 






if 4>x: # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


    ans=1 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


else:

    for i in num: # Hits:31.0, Total execution time: 2.376 ms, Average time per hit: 0.07664516129032257 ms 


        ans=max(large_num(i),ans) # Hits:30.0, Total execution time: 23.789 ms, Average time per hit: 0.7929666666666667 ms 


print(ans) # Hits:1.0, Total execution time: 6.042 ms, Average time per hit: 6.042 ms 

","#abc97 b

x=int(eval(input())) # Hits:1.0, Total execution time: 56.042 ms, Average time per hit: 56.042 ms 




beki=[1] # Hits:1.0, Total execution time: 0.208 ms, Average time per hit: 0.208 ms 




def gene_beki(): # Hits:1.0, Total execution time: 0.292 ms, Average time per hit: 0.292 ms 


    for b in range(2,36):

        for p in range(2,10):

            num=b**p

            if num>x:

                continue

            else:

                beki.append(num)

gene_beki() # Hits:1.0, Total execution time: 63.792 ms, Average time per hit: 63.792 ms 


print((max(beki))) # Hits:1.0, Total execution time: 6.458 ms, Average time per hit: 6.458 ms 
",p03352,True
"*r,=list(range(1,32));x=int(eval(input()));print((max(b**p*(b**p<=x)for p in r[1:]for b in r))) # Hits:1.0, Total execution time: 256.75 ms, Average time per hit: 256.75 ms 
","r=list(range(1,32));x=int(eval(input()));print((max(b**p*(b**p<=x)for p in r[1:]for b in r))) # Hits:1.0, Total execution time: 271.458 ms, Average time per hit: 271.458 ms 
",p03352,True
"x = int(eval(input())) # Hits:1.0, Total execution time: 32.0 ms, Average time per hit: 32.0 ms 


c = 1 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 




for b in range(1,x): # Hits:999.0, Total execution time: 85.249 ms, Average time per hit: 0.08533433433433434 ms 


  for q in range(2,x): # Hits:2044.0, Total execution time: 247.75 ms, Average time per hit: 0.12120841487279843 ms 


    if b**q <=x: # Hits:2043.0, Total execution time: 280.767 ms, Average time per hit: 0.1374287812041116 ms 


      c = max(c,b**q) # Hits:1046.0, Total execution time: 231.949 ms, Average time per hit: 0.22174856596558318 ms 


    else:

      break # Hits:997.0, Total execution time: 75.623 ms, Average time per hit: 0.07585055165496489 ms 


print(c) # Hits:1.0, Total execution time: 5.0 ms, Average time per hit: 5.0 ms 
","x = int(eval(input())) # Hits:1.0, Total execution time: 39.666 ms, Average time per hit: 39.666 ms 


c = [] # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 




for b in range(1,x+1): # Hits:1000.0, Total execution time: 88.125 ms, Average time per hit: 0.088125 ms 


  for q in range(2,x+2): # Hits:2047.0, Total execution time: 260.124 ms, Average time per hit: 0.12707572056668295 ms 


    a = b**q # Hits:2046.0, Total execution time: 239.525 ms, Average time per hit: 0.11706989247311828 ms 


    if a <=x: # Hits:2046.0, Total execution time: 174.815 ms, Average time per hit: 0.08544232649071358 ms 


      c.append(a) # Hits:1048.0, Total execution time: 128.414 ms, Average time per hit: 0.1225324427480916 ms 


    else:

      break # Hits:998.0, Total execution time: 72.431 ms, Average time per hit: 0.07257615230460922 ms 




C = set(c) # Hits:1.0, Total execution time: 4.708 ms, Average time per hit: 4.708 ms 


print((max(C))) # Hits:1.0, Total execution time: 6.333 ms, Average time per hit: 6.333 ms 

",p03352,True
"n = int(eval(input())) # Hits:1.0, Total execution time: 43.0 ms, Average time per hit: 43.0 ms 


l = [] # Hits:1.0, Total execution time: 0.083 ms, Average time per hit: 0.083 ms 


for i in range(1,n+1): # Hits:1000.0, Total execution time: 84.11 ms, Average time per hit: 0.08411 ms 


    for j in range(2,100): # Hits:98901.0, Total execution time: 8919.753 ms, Average time per hit: 0.09018870385537052 ms 


        if i**j <= n: # Hits:97902.0, Total execution time: 28883.234 ms, Average time per hit: 0.29502189945047086 ms 


            l.append(i**j) # Hits:147.0, Total execution time: 25.579 ms, Average time per hit: 0.17400680272108843 ms 


print((max(l))) # Hits:1.0, Total execution time: 10.125 ms, Average time per hit: 10.125 ms 
","n = int(eval(input())) # Hits:1.0, Total execution time: 40.917 ms, Average time per hit: 40.917 ms 


l = [] # Hits:1.0, Total execution time: 0.084 ms, Average time per hit: 0.084 ms 


for i in range(1,n+1): # Hits:1000.0, Total execution time: 86.963 ms, Average time per hit: 0.086963 ms 


    for j in range(2,10): # Hits:8991.0, Total execution time: 880.718 ms, Average time per hit: 0.09795551106662218 ms 


        if i**j <= n: # Hits:7992.0, Total execution time: 1099.835 ms, Average time per hit: 0.13761699199199198 ms 


            l.append(i**j) # Hits:57.0, Total execution time: 9.039 ms, Average time per hit: 0.15857894736842104 ms 


print((max(l))) # Hits:1.0, Total execution time: 9.375 ms, Average time per hit: 9.375 ms 
",p03352,True
"import math # Hits:1.0, Total execution time: 0.417 ms, Average time per hit: 0.417 ms 


x = int(eval(input())) # Hits:1.0, Total execution time: 32.792 ms, Average time per hit: 32.792 ms 




L = [] # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for i in range(2,int(math.floor(math.sqrt(x)))+1): # Hits:31.0, Total execution time: 3.54 ms, Average time per hit: 0.11419354838709676 ms 


  for j in range(x//i + 1): # Hits:3068.0, Total execution time: 281.127 ms, Average time per hit: 0.0916320078226858 ms 


    if i ** j <= x: # Hits:3038.0, Total execution time: 659.056 ms, Average time per hit: 0.21693745885450955 ms 


      L.append(i ** j) # Hits:109.0, Total execution time: 17.75 ms, Average time per hit: 0.1628440366972477 ms 


      

if L == []: # Hits:1.0, Total execution time: 0.167 ms, Average time per hit: 0.167 ms 


  print(""1"") # Hits:1.0, Total execution time: 5.417 ms, Average time per hit: 5.417 ms 


else:

  print((max(L))) # Hits:1.0, Total execution time: 5.625 ms, Average time per hit: 5.625 ms 

",,p03352,True
"X = int(eval(input())) # Hits:1.0, Total execution time: 42.25 ms, Average time per hit: 42.25 ms 


se = set(n**e for n in range(32) for e in range(2,11) if n**e <= X) # Hits:1.0, Total execution time: 37.958 ms, Average time per hit: 37.958 ms 




answer = max(se) # Hits:1.0, Total execution time: 1.0 ms, Average time per hit: 1.0 ms 


print(answer) # Hits:1.0, Total execution time: 9.333 ms, Average time per hit: 9.333 ms 

","X = int(eval(input())) # Hits:1.0, Total execution time: 41.25 ms, Average time per hit: 41.25 ms 


S = set(n**e for n in range(32) for e in range(2,11) if n**e<=X) # Hits:1.0, Total execution time: 38.625 ms, Average time per hit: 38.625 ms 


print((max(S))) # Hits:1.0, Total execution time: 6.458 ms, Average time per hit: 6.458 ms 

",p03352,True
"X = int(eval(input())) # Hits:1.0, Total execution time: 41.833 ms, Average time per hit: 41.833 ms 


ans = 0 # Hits:1.0, Total execution time: 0.125 ms, Average time per hit: 0.125 ms 


for b in range(X + 1): # Hits:1001.0, Total execution time: 81.246 ms, Average time per hit: 0.08116483516483516 ms 


	for p in range(2, 10):  #2^10=1024 # Hits:9000.0, Total execution time: 869.318 ms, Average time per hit: 0.09659088888888888 ms 


		tmp = b ** p # Hits:8000.0, Total execution time: 956.754 ms, Average time per hit: 0.11959425 ms 


		if tmp <= X and tmp > ans: # Hits:8000.0, Total execution time: 739.501 ms, Average time per hit: 0.092437625 ms 


			ans = tmp # Hits:14.0, Total execution time: 1.122 ms, Average time per hit: 0.08014285714285714 ms 


print(ans) # Hits:1.0, Total execution time: 17.25 ms, Average time per hit: 17.25 ms 

","from bisect import bisect_right # Hits:1.0, Total execution time: 0.958 ms, Average time per hit: 0.958 ms 




expo = sorted(list(set([b**p for b in range(1, int(1000**0.5)+1) for p in range(2, 10) if b**p <= 1000]))) # Hits:1.0, Total execution time: 34.542 ms, Average time per hit: 34.542 ms 


X = int(eval(input())) # Hits:1.0, Total execution time: 49.083 ms, Average time per hit: 49.083 ms 




print((expo[bisect_right(expo, X)-1])) # Hits:1.0, Total execution time: 7.375 ms, Average time per hit: 7.375 ms 

",p03352,True
